Date	Open	High	Low	Close
Apr 16, 2016	0.052563	0.053966	0.051089	0.053538
Apr 15, 2016	0.052382	0.053042	0.050851	0.052571
Apr 14, 2016	0.051235	0.053215	0.049994	0.052380
Apr 13, 2016	0.050742	0.053819	0.050265	0.051232
Apr 12, 2016	0.053671	0.053854	0.050560	0.050744
Apr 11, 2016	0.055535	0.055580	0.052887	0.053669
Apr 10, 2016	0.055350	0.056100	0.051889	0.055528
Apr 09, 2016	0.054915	0.058073	0.054656	0.055346
Apr 08, 2016	0.054329	0.056161	0.053658	0.054912
Apr 07, 2016	0.053357	0.055609	0.052602	0.054326
Apr 06, 2016	0.056460	0.057321	0.053055	0.053266
Apr 05, 2016	0.056846	0.058284	0.055084	0.056455
Apr 04, 2016	0.060748	0.061703	0.055597	0.056147
Apr 03, 2016	0.057357	0.065663	0.057357	0.060711
Apr 02, 2016	0.058997	0.061574	0.057329	0.057351
Apr 01, 2016	0.059089	0.062756	0.058270	0.059001
Mar 31, 2016	0.060606	0.062773	0.058680	0.059094
Mar 30, 2016	0.060316	0.061068	0.058324	0.060604
Mar 29, 2016	0.064675	0.065645	0.058897	0.060322
Mar 28, 2016	0.065706	0.069665	0.059661	0.064739
Mar 27, 2016	0.055419	0.081026	0.055230	0.066173
Mar 26, 2016	0.055919	0.057277	0.052968	0.055418
Mar 25, 2016	0.055892	0.056897	0.052194	0.055928
Mar 24, 2016	0.061106	0.062115	0.055523	0.055699
Mar 23, 2016	0.061853	0.068001	0.059958	0.061114
Mar 22, 2016	0.067300	0.069304	0.059816	0.062062
Mar 21, 2016	0.065582	0.068127	0.062461	0.065155
Mar 20, 2016	0.056770	0.072850	0.056207	0.065879
Mar 19, 2016	0.057848	0.065093	0.056187	0.056964
Mar 18, 2016	0.050684	0.066964	0.049624	0.057659
Mar 17, 2016	0.045861	0.054379	0.045396	0.050705
Mar 16, 2016	0.045844	0.046912	0.044070	0.045779
Mar 15, 2016	0.043027	0.047482	0.043019	0.045839
Mar 14, 2016	0.044878	0.047686	0.042280	0.043237
Mar 13, 2016	0.043444	0.048071	0.043035	0.044856
Mar 12, 2016	0.043648	0.045478	0.041785	0.043451
Mar 11, 2016	0.042080	0.044186	0.040957	0.043649
Mar 10, 2016	0.041636	0.043560	0.039176	0.042005
Mar 09, 2016	0.039998	0.045225	0.039684	0.041529
Mar 08, 2016	0.041262	0.044006	0.039567	0.039996
Mar 07, 2016	0.039175	0.042075	0.038946	0.041261
Mar 06, 2016	0.042895	0.042962	0.038866	0.039180
Mar 05, 2016	0.043154	0.044166	0.039877	0.042907
Mar 04, 2016	0.039544	0.046404	0.038654	0.043188
Mar 03, 2016	0.039503	0.040408	0.037339	0.039521
Mar 02, 2016	0.040095	0.041011	0.036771	0.039521
Mar 01, 2016	0.040220	0.040773	0.036152	0.040086
Feb 29, 2016	0.040340	0.044030	0.039578	0.040211
Feb 28, 2016	0.041523	0.041952	0.037614	0.040481
Feb 27, 2016	0.044109	0.044144	0.041487	0.041525
Feb 26, 2016	0.045732	0.046447	0.042192	0.044097
Feb 25, 2016	0.045999	0.048643	0.043170	0.045735
Feb 24, 2016	0.043633	0.052387	0.043633	0.047857
Feb 23, 2016	0.048301	0.048981	0.043624	0.043625
Feb 22, 2016	0.050845	0.051732	0.046426	0.048277
Feb 21, 2016	0.051946	0.052003	0.046341	0.050861
Feb 20, 2016	0.051532	0.052894	0.050091	0.051980
Feb 19, 2016	0.053817	0.053819	0.048168	0.051520
Feb 18, 2016	0.053264	0.055235	0.048751	0.053813
Feb 17, 2016	0.061013	0.061257	0.050587	0.053267
Feb 16, 2016	0.061120	0.061789	0.058433	0.061046
Feb 15, 2016	0.063708	0.070612	0.058129	0.061132
Feb 14, 2016	0.050095	0.068596	0.050095	0.062242
Feb 13, 2016	0.045784	0.051692	0.045289	0.049903
Feb 12, 2016	0.043521	0.047195	0.043521	0.045950
Feb 11, 2016	0.043462	0.046204	0.042019	0.043521
