"","TC_1_1.1","TC_1_1.2","TC_1_1.3","TC_1_1.4","TC_1_1.5","TC_1_1.6","TC_1_1.7","TC_1_1.8","TC_1_1.9","TC_1_1.10","TC_1_1.11","TC_1_1.12","TC_1_1.13","TC_1_1.14","TC_1_1.15","TC_1_1.16","TC_1_1.17","TC_1_1.18","TC_1_1.19","TC_1_1.20","TC_1_1.21","TC_1_1.22","TC_1_1.23","TC_1_1.24","TC_1_1.25","TC_1_1.26","TC_1_1.27","TC_1_1.28","TC_1_1.29","TC_1_1.30","TC_1_1.31","TC_1_1.32","TC_1_1.33","TC_1_1.34","TC_1_1.35","TC_1_1.36","TC_1_1.37"
"16 ENE2009",1.3270,120.1100,1.4863,0.88930,10.7665,7.4515,9.2125,1.6434,1.9611,2.4182,0.8762,"_",27.1700,277.9000,4.1805,15.6466,"_","_",0.7039,4.2790,1.9558,64.3990,2.1333,3.4528,10.2968,1.9720,13.1573,1792.1100,9.0732,7.3821,14634.1600,4.7473,62.6300,43.1521,46.2790,18.3524,3.0853
"19 ENE2009",1.3182,119.1600,1.4812,0.90470,10.7870,7.4509,9.1200,1.6492,1.9628,2.4223,0.8727,"_",27.7080,283.5500,4.3435,15.6466,"_","_",0.7035,4.3050,1.9558,64.0910,2.1768,3.4528,10.2273,1.9693,13.2716,1800.6200,9.0111,7.3997,14618.8400,4.7198,62.1300,43.5998,46.0380,18.4192,3.0813
"20 ENE2009",1.2930,116.9000,1.4807,0.93110,10.8895,7.4514,9.1915,1.6364,1.9662,2.4482,0.8661,"_",27.8950,287.1500,4.3770,15.6466,"_","_",0.7033,4.3470,1.9558,63.5380,2.1659,3.4528,10.0328,1.9519,13.3615,1781.7200,8.8422,7.4106,14622.5400,4.6684,61.4200,43.1160,45.2100,18.1925,3.0500
"21 ENE2009",1.2910,116.1100,1.4764,0.93860,10.7680,7.4507,9.0555,1.6345,1.9937,2.4882,0.8659,"_",27.5840,284.5800,4.3465,15.6466,"_","_",0.7028,4.3148,1.9558,63.5300,2.1455,3.4528,10.0167,1.9418,13.2043,1775.0300,8.8276,7.4200,14459.2000,4.6689,61.3200,42.4185,45.1140,18.0095,3.0597
"22 ENE2009",1.2984,114.9800,1.5036,0.94410,10.6905,7.4529,9.0300,1.6392,1.9799,2.4582,0.8677,"_",27.7000,282.7600,4.3255,15.6466,"_","_",0.7034,4.3275,1.9558,63.5240,2.1454,3.4528,10.0744,1.9428,13.0651,1794.4100,8.8773,7.4417,14607.0000,4.6850,61.4100,42.3687,45.3340,17.8933,3.0259
"23 ENE2009",1.2795,113.6500,1.4955,0.93870,10.7058,7.4535,8.9940,1.6087,1.9836,2.4592,0.8600,"_",28.1060,289.8500,4.4405,15.6466,"_","_",0.7042,4.3053,1.9558,62.9000,2.1433,3.4528,9.9238,1.9282,13.2081,1787.5000,8.7492,7.3973,14496.7400,4.6388,60.5800,42.2975,44.6740,18.1433,3.0121
"26 ENE2009",1.2990,115.8200,1.5031,0.93950,10.6000,7.4535,8.8935,1.5864,1.9773,2.4621,0.8694,"_",27.7120,285.4100,4.3430,15.6466,"_","_",0.7040,4.2517,1.9558,63.0920,2.1331,3.4528,10.0785,1.9472,13.1069,1825.8100,8.8826,7.4157,14717.6700,4.7095,61.5100,42.8528,45.3290,18.1211,3.0050
"27 ENE2009",1.3174,117.5900,1.5017,0.93520,10.5375,7.4527,8.8975,1.6190,1.9884,2.4922,0.8748,"_",27.6380,285.3200,4.3540,15.6466,"_","_",0.7030,4.2380,1.9558,64.2560,2.1377,3.4528,10.2220,1.9800,13.1772,1830.9200,9.0084,7.3608,14919.5600,4.7762,61.5800,43.5350,45.9710,18.5095,3.0462
"28 ENE2009",1.3260,118.5700,1.5163,0.92725,10.6145,7.4525,8.8870,1.6161,1.9815,2.5024,0.8774,"_",27.3510,284.8000,4.3450,15.6466,"_","_",0.7019,4.2310,1.9558,64.8750,2.1408,3.4528,10.2881,1.9869,13.1241,1806.6800,9.0672,7.3618,15016.9500,4.7557,61.6700,44.7265,46.2640,18.6953,3.0381
"29 ENE2009",1.3111,118.0700,1.5063,0.91725,10.5341,7.4522,8.8000,1.5963,1.9942,2.5294,0.8713,"_",27.4800,287.2800,4.3840,15.6466,"_","_",0.6988,4.2430,1.9558,63.8770,2.1229,3.4528,10.1696,1.9726,12.9979,1795.8100,8.9653,7.3711,14913.7600,4.7186,61.3700,45.7293,45.7640,18.5062,2.9795
"30 ENE2009",1.2816,114.9800,1.4871,0.89785,10.6090,7.4531,8.8875,1.5895,2.0115,2.5268,0.8590,"_",27.8820,299.0800,4.4620,15.6466,"_","_",0.6992,4.3090,1.9558,62.4010,2.1170,3.4528,9.9399,1.9346,13.1411,1787.8300,8.7636,7.3700,14610.2400,4.6234,59.6600,45.7585,44.8110,18.4230,2.9640
"02 FEB2009",1.2760,114.0400,1.4872,0.90335,10.6765,7.4536,8.9415,1.5850,2.0318,2.5535,0.8559,"_",28.1320,297.9800,4.4421,15.6466,"_","_",0.6987,4.3110,1.9558,62.0650,2.1195,3.4528,9.8956,1.9344,13.0662,1783.1700,8.7389,7.3842,15009.5900,4.6134,59.8200,46.1685,44.6190,18.4829,3.0050
"03 FEB2009",1.2849,115.0200,1.4898,0.90290,10.7506,7.4530,9.0390,1.6058,2.0113,2.5418,0.8603,"_",28.3980,299.2500,4.5495,15.6466,"_","_",0.7014,4.3065,1.9558,62.1890,2.1138,3.4528,9.9629,1.9456,13.0019,1785.4100,8.7891,7.4047,15001.2100,4.6507,61.2200,46.5075,44.9270,18.6413,2.9841
"04 FEB2009",1.2818,114.2800,1.4896,0.89010,10.6693,7.4514,8.8920,1.5928,2.0006,2.5325,0.8569,"_",28.3800,298.5000,4.6740,15.6466,"_","_",0.7020,4.3050,1.9558,62.2570,2.1074,3.4528,9.9394,1.9351,12.9327,1774.0800,8.7598,7.3872,15061.1500,4.6484,60.3500,46.5270,44.7780,18.6886,2.9618
"05 FEB2009",1.2829,115.0400,1.4919,0.87800,10.6265,7.4511,8.7790,1.5807,1.9772,2.5033,0.8580,"_",28.2480,294.9900,4.6485,15.6466,"_","_",0.7032,4.2790,1.9558,62.4260,2.1032,3.4528,9.9472,1.9325,12.7571,1770.6300,8.7708,7.3952,14962.4600,4.6372,60.7200,46.6010,44.8450,18.5251,2.9559
